,nb_link,nb_id,cell_no,source_x,Mike_label_readable,Ge_label_readable
910,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1005070.ipynb,1005070,56,['cryptic_binding_counts.unstack()'],WRANGLE,EXPLORE
911,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1005070.ipynb,1005070,58,['HTML(cryptic_events_slop_counts.unstack().to_html())'],EXPLORE,WRANGLE
916,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1005070.ipynb,1005070,65,"['for (uid, rbp, cell_type), df in list(sig_rMATS.groupby(level=[""uid"", ""rbp"", ""cell_type""])):\n', '    try:\n', '        read_density = splicing_map.ReadDensity(pos=""/projects/ps-yeolab2/encode/analysis/encode_v12/{}_01_{}.merged.r2.norm.neg.bw"".format(uid, rbp), \n', '                                   neg=""/projects/ps-yeolab2/encode/analysis/encode_v12/{}_01_{}.merged.r2.norm.pos.bw"".format(uid, rbp))\n', '\n', '        splicing_map.plot_splice_map(read_density, df, ""{} {} Rep 1"".format(rbp, cell_type),  os.path.join(img_dir, ""{}_01_{}.splice_map.svg"".format(uid, rbp)))\n', '\n', '        read_density = splicing_map.ReadDensity(pos=""/projects/ps-yeolab2/encode/analysis/encode_v12/{}_02_{}.merged.r2.norm.neg.bw"".format(uid, rbp), \n', '                                   neg=""/projects/ps-yeolab2/encode/analysis/encode_v12/{}_02_{}.merged.r2.norm.pos.bw"".format(uid, rbp))\n', '\n', '        splicing_map.plot_splice_map(read_density, df, ""{} {} Rep 2"".format(rbp, cell_type),  os.path.join(img_dir, ""{}_02_{}.splice_map.svg"".format(uid, rbp)))\n', '        \n', '    except Exception as e:\n', '        print e\n', '        print uid, rbp, cell_type']",EXPLORE,WRANGLE
1769,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1005207.ipynb,1005207,30,"['num_good_feat = len(base_features)\n', 'fitted_vs_ref_plot(df_cv_lin_base, num_good_feat, ref_column)\n', 'plot_fitted_and_ref_vs_time(df_cv_lin_base, pod_number, 1, ref_column)\n', 'plot_fitted_and_ref_vs_time(df_cv_lin_base, pod_number, 2, ref_column)\n', 'plot_fitted_and_ref_vs_time(df_cv_lin_base, pod_number, 3, ref_column)\n', 'resid = plot_resid_vs_conc(df_cv_lin_base, ref_column)']",EXPLORE,EVALUATE
1770,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1005207.ipynb,1005207,32,"['every_feature = list(df_tr.ix[:,0:len(df_scaled.columns)])\n', ""leave_out = ['ref_o3_smooth', 'chunk', 'day', 'O3_ppb', 'UnixTime']\n"", 'all_features = [f for f in every_feature if f not in leave_out]\n', 'MSE_CV, MSE_T, MSE_H, high_MSE_cv, X_pred_cv_all, y_cv, df_cv_lin_all, df_H_lin_all = cross_validation_by_day(lin_regr, all_features, df_tr, df_hold, days_tr, ref_column, cutoff_value)']",WRANGLE,MODEL
1775,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1005207.ipynb,1005207,42,"['i = 1\n', 'while i < 15:\n', '    num_good_feat = i\n', '    df_cv_1, df_H_1 = find_fitted_cv_values_for_best_features(df_tr, df_hold, fs_features, num_good_feat, linear_model.LinearRegression(), chunks_tr, ref_column)\n', '    fitted_vs_ref_plot(df_cv_1, i, ref_column) \n', '    plot_learning_curve(lin_regr, ""Learning Curve- Number of features = "" + str(i), df_tr[fs_features[:i]].values, df_tr[ref_column].values, (0,10), 5, np.array([0.1, 0.3, 0.5, 0.7, 0.8, 0.85, 0.9, 0.95,0.97, 1.0]))\n', '    i += 2']",EVALUATE,MODEL
1779,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1005207.ipynb,1005207,49,"['df_lin_regr_best_feat_cv, df_lin_regr_best_feat_H  = find_fitted_cv_values_for_best_features(df_tr, df_hold, fs_features, num_good_feat, linear_model.LinearRegression(), chunks_tr, ref_column)\n', 'fitted_vs_ref_plot(df_lin_regr_best_feat_cv, num_good_feat, ref_column)\n', 'plot_fitted_and_ref_vs_time(df_lin_regr_best_feat_cv, pod_number, 1, ref_column)\n', 'plot_fitted_and_ref_vs_time(df_lin_regr_best_feat_cv, pod_number, 2, ref_column)\n', 'plot_fitted_and_ref_vs_time(df_lin_regr_best_feat_cv, pod_number, 3, ref_column)\n', 'resid = plot_resid_vs_conc(df_lin_regr_best_feat_cv, ref_column)']",EVALUATE,MODEL
1040,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1006895.ipynb,1006895,18,"['#Now input into the nfl DataFrame\n', ""nfl_frame['Stadium']=stadiums\n"", '\n', '#Show\n', 'nfl_frame']",WRANGLE,EXPLORE
1041,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1006895.ipynb,1006895,19,"['#We can also delete columns\n', ""del nfl_frame['Stadium']\n"", '\n', 'nfl_frame']",WRANGLE,EXPLORE
1042,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1006895.ipynb,1006895,20,"['#DataFrames can be constructed many ways. Another way is from a dictionary of equal length lists\n', ""data = {'City':['SF','LA','NYC'],\n"", ""        'Population':[837000,3880000,8400000]}\n"", '\n', 'city_frame = DataFrame(data)\n', '\n', '#Show\n', 'city_frame']",WRANGLE,EXPLORE
457,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1024739.ipynb,1024739,3,"['import matplotlib.pyplot as plt\n', 'from iotdata import IOTData\n', '\n', 'device = IOTData()\n', '\n', 'def plotarray(data):\n', '    length = len(data)\n', '    for k in range(length):\n', '        plt.plot(range(len(data[k])), data[k])\n']",IMPORT,EXPLORE
1080,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1026329.ipynb,1026329,52,"[""jieba.analyse.extract_tags(list(df['status_message'])[99], topK=120)""]",EXPLORE,MODEL
1081,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1026329.ipynb,1026329,54,"['def jieba_extract(message_list):\n', '    word_count = {}\n', '    for message in message_list:\n', '        # 在抽取關鍵字時,可能會發生錯誤,先把錯誤的message收集起來,看看是怎麼一回事\n', '        seg_list = jieba.analyse.extract_tags(message, topK=120)\n', '        for seg in seg_list:\n', '            if not seg in word_count:\n', '                word_count[seg] = 1\n', '            else:\n', '                word_count[seg] += 1\n', '\n', '    sorted_word_count = sorted(word_count.items(), key=operator.itemgetter(1))\n', '    sorted_word_count.reverse()\n', '    return sorted_word_count\n', ""sorted_word_count = jieba_extract(list(df['status_message']))""]",WRANGLE,MODEL
1083,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1026329.ipynb,1026329,58,"[""tpath = '/home/wy/font/NotoSansCJKtc-Black.otf'\n"", 'wordcloud = WordCloud(max_font_size=120, relative_scaling=.1, width=900, height=600, font_path=tpath).fit_words(sorted_word_count)\n', 'plt.imshow(wordcloud)\n', 'plt.axis(""off"")\n', 'plt.show()']",EXPLORE,EVALUATE
1084,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1026329.ipynb,1026329,60,"[""tpath = '/home/wy/font/NotoSansCJKtc-Black.otf'\n"", 'wordcloud = WordCloud(max_font_size=120, relative_scaling=.1, width=900, height=600, font_path=tpath).fit_words(sorted_word_count[30:])\n', 'plt.imshow(wordcloud)\n', 'plt.axis(""off"")\n', 'plt.show()']",EXPLORE,EVALUATE
1088,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1026329.ipynb,1026329,65,"[""sorted_comment_message = jieba_extract(list(c_df['comment_message']))\n"", 'print (sorted_comment_message[:10])\n', ""tpath = '/home/wy/font/NotoSansCJKtc-Black.otf'\n"", 'wordcloud = WordCloud(max_font_size=120, relative_scaling=.1, width=900, height=600, font_path=tpath).fit_words(sorted_comment_message)\n', 'plt.figure()\n', 'plt.imshow(wordcloud)\n', 'plt.axis(""off"")\n', 'plt.show()']",EXPLORE,MODEL
1094,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1026329.ipynb,1026329,77,"['# 設定路徑\n', ""excel_path = 'excel/'+page_id+'_analysis.xlsx'\n"", ""writer = pd.ExcelWriter(excel_path, engine='xlsxwriter')\n"", '\n', '# 把DataFrame寫入到xlsx\n', 'df_num_reactions.to_excel(writer, sheet_name=page_id, startcol=0, startrow=0)\n', 'df_num_comments.to_excel(writer, sheet_name=page_id, startcol=3, startrow=0)\n', 'df_num_shares.to_excel(writer, sheet_name=page_id, startcol=6, startrow=0)\n', 'delta_datetime_df.to_excel(writer, sheet_name=page_id, startcol=9, startrow=0)\n', '\n', 'df_status_type.to_excel(writer, sheet_name=page_id, startcol=0, startrow=11)\n', ""df_weekday.set_index('index').to_excel(writer, sheet_name=page_id, startcol=0, startrow=25)\n"", ""df_hour.set_index('index').to_excel(writer, sheet_name=page_id, startcol=0, startrow=39)\n"", '\n', '\n', '# 畫出內建長條圖\n', 'workbook  = writer.book\n', '\n', '# 發文種類長條統計圖\n', ""chart1 = workbook.add_chart({'type': 'column'})\n"", 'chart1.add_series({\n', ""    'categories': '='+page_id+'!$A$13:$A$18',\n"", ""    'values': '='+page_id+'!$B$13:$B$18',\n"", '})\n', ""chart1.set_title ({'name': '發文種類長條統計圖'})\n"", ""chart1.set_x_axis({'name': 'status_type'})\n"", ""chart1.set_y_axis({'name': 'count'})\n"", 'worksheet = writer.sheets[page_id]\n', ""worksheet.insert_chart('D12', chart1)\n"", '\n', '# 星期幾發文統計長條圖\n', ""chart2 = workbook.add_chart({'type': 'column'})\n"", 'chart2.add_series({\n', ""    'categories': '='+page_id+'!$A$27:$A$33',\n"", ""    'values': '='+page_id+'!$B$27:$B$33',\n"", '})\n', ""chart2.set_title ({'name': '星期幾發文統計長條圖'})\n"", ""chart2.set_x_axis({'name': 'hour'})\n"", ""chart2.set_y_axis({'name': 'count'})\n"", 'worksheet = writer.sheets[page_id]\n', ""worksheet.insert_chart('D26', chart2)\n"", '\n', '# 單日幾時發文統計長條圖\n', ""chart3 = workbook.add_chart({'type': 'column'})\n"", 'chart3.add_series({\n', ""    'categories': '='+page_id+'!$A$41:$A$64',\n"", ""    'values': '='+page_id+'!$B$41:$B$64',\n"", '})\n', ""chart3.set_title ({'name': '單日幾時發文統計長條圖'})\n"", ""chart3.set_x_axis({'name': 'weekday'})\n"", ""chart3.set_y_axis({'name': 'count'})\n"", 'worksheet = writer.sheets[page_id]\n', ""worksheet.insert_chart('D40', chart3)\n"", '\n', '# 示範插入image, 當把上面的圖畫出來之後,要先存起來才能插入到xlsx\n', ""df.plot(x='datetime', y=['num_likes', 'num_loves', 'num_wows', 'num_hahas', 'num_sads', 'num_angrys'])\n"", ""plt.savefig('image/image1.png')\n"", ""worksheet.insert_image('L12', 'image/image1.png')""]",WRANGLE,EXPLORE
927,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1026834.ipynb,1026834,10,"['import numpy\n', 'type(numpy.nan)']",EXPLORE,IMPORT
931,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1026834.ipynb,1026834,14,"['import numpy\n', 'type(numpy.nan)']",EXPLORE,IMPORT
940,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1026834.ipynb,1026834,24,"['import numpy\n', 'columns_that_are_numbers = billboard.columns[\n', '(billboard.dtypes == numpy.int64) | (billboard.dtypes == numpy.float64)]\n', 'columns_that_are_numbers ']",EXPLORE,WRANGLE
946,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1026834.ipynb,1026834,30,"[""genre_table = pandas.pivot_table(billboard,index='genre').T\n"", 'genre_table']",EXPLORE,WRANGLE
260,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1031433.ipynb,1031433,26,['print x_min.x'],EVALUATE,EXPLORE
264,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1031433.ipynb,1031433,30,"['X  = np.random.rand(4,3) \n', 'print X']",EXPLORE,WRANGLE
265,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1031433.ipynb,1031433,31,"['U,D,V = linalg.svd(X)\n', 'print U.shape , D.shape, V.shape\n', 'print type(U), type(D), type(V)']",EXPLORE,MODEL
271,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1031433.ipynb,1031433,39,"[""f = interpolate.interp1d(x,y, kind = 'quadratic')\n"", 'x_new = np.arange(0,8,0.1)\n', 'y_new = f(x_new)\n', 'print y_new\n', 'print x_new']",WRANGLE,MODEL
26,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1033591.ipynb,1033591,5,"['# Predicted outcomes\n', 'predicted = model.predict(X_test)\n', '\n', '# Actual Expected Outvomes\n', 'expected = Y_test']",MODEL,EVALUATE
964,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1034447.ipynb,1034447,0,"['#第一题binomial distribution (Math question没做)\n', '\n', 'import numpy as np\n', 'from sklearn.tree import DecisionTreeRegressor\n', 'from sklearn.ensemble import BaggingRegressor\n', 'import matplotlib.pyplot as plt\n', '# Create a random dataset\n', 'rng = np.random.RandomState(1)\n', 'X = np.sort(5 * rng.rand(80, 1), axis=0)\n', 'y = np.sin(X).ravel()\n', 'y[::5] += 1 * (0.5 - rng.rand(16))\n', 'n_estimators = 10 # L in the text\n', 'tree_max_depth = 10\n', 'bagging_max_depth = 10\n', '\n', '# TODO define the regressor by bagging stumps\n', 'tree = DecisionTreeRegressor(max_depth=1)\n', 'tree.fit(X, y)\n', 'tree_ = DecisionTreeRegressor(max_depth=10)\n', 'tree_.fit(X, y)\n', '\n', 'bagging = BaggingRegressor(n_estimators=n_estimators)\n', 'bagging.fit(X, y)\n', '\n', '# Predict\n', 'X_test = np.arange(0.0, 5.0, 0.01)[:, np.newaxis]\n', 'y_tree = tree.predict(X_test)\n', 'y_tree_ = tree_.predict(X_test)\n', 'y_bagging = bagging.predict(X_test)\n', '# Plot the results\n', 'plt.figure(figsize=(12, 8))\n', 'plt.plot(X, y, \'o\', c=""g"", label=""data"")\n', 'plt.plot(X_test,y_tree,\'o\', c=""b"", label = ""tree(depth=1)"")\n', 'plt.plot(X_test,y_tree_,\'o\', c=""y"", label = ""tree(depth=10)"")\n', 'plt.plot(X_test,y_bagging,\'o\', c=""r"", label = ""bagging"")\n', '# TODO add plots for Bagging/Tree\n', 'plt.title(""Decision Tree Regression"")\n', 'plt.legend(loc=1, numpoints=1)\n', 'plt.show()']",EXPLORE,MODEL
965,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1034447.ipynb,1034447,1,"['# Illustrate the role of L（可添加文字解释和每条曲线的标签）\n', 'plt.figure(figsize=(12, 8))\n', 'C= [2,4,6,8,10]\n', ""Colour = ['c','g','b','y','r']\n"", 'plt.plot(X, y, \'o\', c=""g"", label=""data"")\n', 'for i in range(0,5):\n', '    bagging = BaggingRegressor(n_estimators=C[i])\n', '    bagging.fit(X, y)\n', '    y_bagging = bagging.predict(X_test)\n', ""    plt.plot(X_test,y_bagging,'g-', c= Colour[i],label ='bagging')\n"", '    \n', '    \n', 'plt.show()']",EXPLORE,MODEL
966,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1034447.ipynb,1034447,2,"['# Illustrate the role of the tree depth(麻烦加一下文字解释和每条曲线的标签)\n', 'plt.figure(figsize=(12, 8))\n', 'C= [2,4,6,8,10]\n', ""Colour = ['c','g','b','y','r']\n"", 'plt.plot(X, y, \'o\', c=""g"", label=""data"")\n', 'for i in range(0,5):\n', '    tree_ = DecisionTreeRegressor(max_depth= C[i])\n', '    tree_.fit(X, y)\n', '    y_tree_ = tree_.predict(X_test)\n', ""    plt.plot(X_test,y_tree_,'g-', c= Colour[i],label ='bagging')\n"", '    \n', '    \n', 'plt.show()\n']",EXPLORE,MODEL
967,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1034447.ipynb,1034447,3,"['# biais ,variance(第三四五题不会，以下代码仅供参考）\n', '\n', '# Settings\n', 'n_repeat = 50       # Number of iterations for computing expectations\n', 'n_train = 50        # Size of the training set\n', 'n_test = 1000       # Size of the test set\n', 'noise = 0.1         # Standard deviation of the noise\n', 'np.random.seed(0)\n', '\n', '# Change this for exploring the bias-variance decomposition of other\n', '# estimators. This should work well for estimators with high variance (e.g.,\n', '# decision trees or KNN), but poorly for estimators with low variance (e.g.,\n', '# linear models).\n', 'estimators = [(""Tree"", DecisionTreeRegressor()),\n', '              (""Bagging(Tree)"", BaggingRegressor(DecisionTreeRegressor()))]\n', '\n', 'n_estimators = len(estimators)\n', '\n', '# Generate data\n', 'def f(x):\n', '    x = x.ravel()\n', '\n', '    return np.sin(x)\n', '\n', '\n', '\n', 'for i in range(n_repeat):\n', '    X, y = generate(n_samples=n_train, noise=noise)\n', '    X_train.append(X)\n', '    y_train.append(y)\n', '\n', 'X_test, y_test = generate(n_samples=n_test, noise=noise, n_repeat=n_repeat)\n', '\n', '# Loop over estimators to compare\n', 'for n, (name, estimator) in enumerate(estimators):\n', '    # Compute predictions\n', '    y_predict = np.zeros((n_test, n_repeat))\n', '\n', '    for i in range(n_repeat):\n', '        estimator.fit(X_train[i], y_train[i])\n', '        y_predict[:, i] = estimator.predict(X_test)\n', '\n', '    # Bias^2 + Variance + Noise decomposition of the mean squared error\n', '    y_error = np.zeros(n_test)\n', '\n', '    for i in range(n_repeat):\n', '        for j in range(n_repeat):\n', '            y_error += (y_test[:, j] - y_predict[:, i]) ** 2\n', '\n', '    y_error /= (n_repeat * n_repeat)\n', '\n', '    y_noise = np.var(y_test, axis=1)\n', '    y_bias = (f(X_test) - np.mean(y_predict, axis=1)) ** 2\n', '    y_var = np.var(y_predict, axis=1)\n', '\n', '    print(""{0}: {1:.4f} (error) = {2:.4f} (bias^2) ""\n', '          "" + {3:.4f} (var) + {4:.4f} (noise)"".format(name,\n', '                                                      np.mean(y_error),\n', '                                                      np.mean(y_bias),\n', '                                                      np.mean(y_var),\n', '                                                      np.mean(y_noise)))\n', '    plt.figure(figsize=(12, 8))\n', '\n', '    # Plot figures\n', '    plt.subplot(2, n_estimators, n + 1)\n', '    plt.plot(X_test, f(X_test), ""b"", label=""$f(x)$"")\n', '    plt.plot(X_train[0], y_train[0], "".b"", label=""LS ~ $y = f(x)+noise$"")\n', '\n', '    for i in range(n_repeat):\n', '        if i == 0:\n', '            plt.plot(X_test, y_predict[:, i], ""r"", label=""$\\^y(x)$"")\n', '        else:\n', '            plt.plot(X_test, y_predict[:, i], ""r"", alpha=0.05)\n', '\n', '    plt.plot(X_test, np.mean(y_predict, axis=1), ""c"",\n', '             label=""$\\mathbb{E}_{LS} \\^y(x)$"")\n', '\n', '    plt.xlim([-5, 5])\n', '    plt.title(name)\n', '\n', '    if n == 0:\n', '        plt.legend(loc=""upper left"", prop={""size"": 11})\n', '\n', '    plt.subplot(2, n_estimators, n_estimators + n + 1)\n', '    plt.plot(X_test, y_error, ""r"", label=""$error(x)$"")\n', '    plt.plot(X_test, y_bias, ""b"", label=""$bias^2(x)$""),\n', '    plt.plot(X_test, y_var, ""g"", label=""$variance(x)$""),\n', '    plt.plot(X_test, y_noise, ""c"", label=""$noise(x)$"")\n', '\n', '    plt.xlim([-5, 5])\n', '    plt.ylim([0, 0.1])\n', '\n', '    if n == 0:\n', '        plt.legend(loc=""upper left"", prop={""size"": 11})\n', '\n', 'plt.show()\n']",EXPLORE,MODEL
1719,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1043186.ipynb,1043186,3,"['# Import libraries necessary for this project\n', 'import numpy as np\n', 'import pandas as pd\n', 'import renders as rs\n', 'from IPython.display import display # Allows the use of display() for DataFrames\n', '\n', '# Show matplotlib plots inline (nicely formatted in the notebook)\n', '%matplotlib inline\n', '\n', '# Load the wholesale customers dataset\n', 'try:\n', '    data = pd.read_csv(""customers.csv"")\n', ""    data.drop(['Region', 'Channel'], axis = 1, inplace = True)\n"", '    print ""Wholesale customers dataset has {} samples with {} features each."".format(*data.shape)\n', 'except:\n', '    print ""Dataset could not be loaded. Is the dataset missing?""']",IMPORT,WRANGLE
1734,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1043186.ipynb,1043186,49,"['# TODO: Inverse transform the centers\n', 'log_centers = pca.inverse_transform(centers)\n', '\n', '# TODO: Exponentiate the centers\n', 'true_centers = np.exp(log_centers)\n', '\n', '\n', '# Display the true centers\n', ""segments = ['Segment {}'.format(i) for i in range(0,len(centers))]\n"", 'true_centers = pd.DataFrame(np.round(true_centers), columns = data.keys())\n', 'true_centers.index = segments\n', 'display(true_centers)\n', '\n', 'print ""Data broken into quintiles:""\n', 'display(data.quantile([0.25,0.5,0.75,1.0]).round())']",EXPLORE,EVALUATE
1735,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1043186.ipynb,1043186,53,"['# Display the predictions\n', 'for i, pred in enumerate(sample_preds):\n', '    print ""Sample point"", i, ""predicted to be in Cluster"", pred\n', '    \n', 'print ""\\n\\nChosen samples of wholesale customers dataset:""\n', 'display(samples)\n', '\n', '\n', 'import seaborn as sns\n', 'import matplotlib.pyplot as plt\n', '\n', ""# check if sample's spending is closer to segment 0 or 1\n"", 'samples = samples.reset_index(drop = True)\n', 'df_diff = (np.abs(samples - true_centers.iloc[0]) < np.abs(samples - true_centers.iloc[1])).applymap(lambda x: 0 if x else 1)\n', '\n', '#add predictions to df\n', ""df_final = pd.concat([df_diff, pd.Series(sample_preds, name = 'PREDICTION')], axis = 1)\n"", '\n', '#visualise results\n', 'fig, ax = plt.subplots(1,1, figsize = (10,6))\n', '\n', 'print ""Cluster prediction for each sample for each feature:""\n', '\n', ""sns.heatmap(df_final, annot = True, cbar = False, square = True, yticklabels = ['client_{0}'.format(i) for i in indices])\n"", 'plt.xticks(rotation = 90)\n', 'plt.yticks(rotation = 0);']",EXPLORE,EVALUATE
1736,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1043186.ipynb,1043186,61,"[""# Display the clustering results based on 'Channel' data\n"", 'rs.channel_results(reduced_data, outliers, pca_samples)']",EXPLORE,EVALUATE
646,http://quackerjack.cs.washington.edu:5000/annotatenb/nb_1051445.ipynb,1051445,2,"['#sort data frame by amount field, this is useful because multiple years are present\n', ""bank_df.sort_values(by='amount', inplace=True)\n"", ""inc_df.sort_values(by='income', inplace=True)\n"", 'inc_df.head()']",WRANGLE,EXPLORE
